,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus
1,1630545,Terrence Shannon Jr.,Terrence,1612709911,IWA,24.0,4,2,2,0.5,36.32,11.75,22.0,0.534,2.0,5.5,0.364,6.5,6.75,0.963,1.25,3.25,4.5,2.5,3.5,1.0,0.25,3.0,1.5,6.75,36.5,-2.25
2,1630538,Bones Hyland,Bones,1612709911,IWA,24.0,4,0,4,0.0,40.8,9.5,22.5,0.422,7.0,16.0,0.438,3.5,4.5,0.778,1.0,3.5,4.5,5.5,1.0,4.0,1.0,1.5,3.0,6.0,33.5,-8.5
3,1642263,Reed Sheppard,Reed,1612709908,RGV,20.0,6,4,2,0.667,35.46,10.33,22.67,0.456,5.0,12.33,0.406,3.0,3.0,1.0,0.33,4.0,4.33,8.33,2.33,2.67,1.0,2.67,2.33,3.0,30.67,6.33
4,202738,Isaiah Thomas,Isaiah,1612709903,SLC,36.0,22,16,6,0.727,31.22,9.27,20.55,0.451,3.91,10.0,0.391,3.91,4.09,0.956,0.36,2.0,2.36,5.64,2.55,1.09,0.55,0.55,1.73,5.18,29.64,0.91
5,1641741,Ricky Council IV,Ricky,1612709909,DEL,23.0,2,2,0,1.0,36.87,8.0,19.0,0.421,3.0,7.0,0.429,6.0,6.0,1.0,5.0,3.0,8.0,2.0,2.0,0.0,1.0,0.0,2.0,8.0,29.0,23.0
6,1630314,Brandon Williams,Brandon,1612709918,TEX,25.0,10,4,6,0.4,38.4,9.8,20.3,0.483,3.3,8.5,0.388,3.6,5.3,0.679,1.5,3.9,5.4,7.3,4.9,1.9,0.7,1.4,2.2,7.1,28.9,-2.2
7,1631121,Bryce McGowens,Bryce,1612709933,RCR,22.0,27,12,15,0.444,35.86,9.11,19.3,0.472,2.19,6.48,0.338,4.81,5.85,0.822,0.81,2.78,3.59,3.56,3.3,1.3,0.78,1.15,2.26,7.19,28.3,2.7
8,1642269,Devin Carter,Devin,1612709914,STO,22.0,10,8,2,0.8,34.29,9.2,17.8,0.517,3.8,10.0,0.38,2.2,3.0,0.733,2.2,7.2,9.4,5.4,3.8,2.0,1.2,0.4,1.0,4.8,26.6,7.6
9,1631133,Jabari Walker,Jabari,1612709933,RCR,22.0,2,2,0,1.0,29.17,9.0,14.0,0.643,2.0,4.0,0.5,4.0,5.0,0.8,1.0,11.0,12.0,2.0,3.0,1.0,0.0,0.0,4.0,5.0,26.0,-2.0
10,1641871,Duop Reath,Duop,1612709933,RCR,28.0,4,2,2,0.5,32.81,9.5,23.0,0.413,3.5,10.0,0.35,3.0,3.0,1.0,3.5,5.0,8.5,2.0,2.5,0.5,1.5,4.0,4.5,4.0,26.0,-5.0
11,1641725,Trey Alexander,Trey,1612709917,GRG,21.0,26,15,11,0.577,37.07,9.23,20.12,0.459,2.65,6.58,0.403,2.92,3.69,0.791,0.38,5.31,5.69,5.5,2.77,1.65,0.5,1.23,2.38,4.5,25.77,2.35
12,1630537,Chris Duarte,Chris,1612709923,WCB,27.0,4,2,2,0.5,34.93,8.0,15.5,0.516,3.5,9.0,0.389,4.5,4.5,1.0,0.0,4.5,4.5,5.5,5.0,3.5,0.0,0.5,3.0,4.5,25.5,3.0
13,1631120,JD Davison,JD,1612709915,MNE,22.0,38,21,17,0.553,34.36,9.18,18.89,0.486,1.61,4.92,0.327,3.21,4.16,0.772,1.47,3.5,4.97,7.66,3.39,1.47,0.68,1.05,2.21,5.05,25.34,3.55
14,1641745,Adam Flagler,Adam,1612709889,OKL,25.0,6,6,0,1.0,32.35,8.33,22.67,0.367,5.0,15.67,0.319,2.0,2.67,0.749,0.67,4.33,5.0,5.67,1.33,2.33,0.0,0.67,1.0,2.67,25.0,8.33
15,1641810,Antonio Reeves,Antonio,1612709913,BHM,22.0,10,3,7,0.3,38.66,9.1,19.8,0.46,3.5,8.5,0.412,2.0,2.5,0.8,2.0,4.1,6.1,2.1,2.1,1.3,0.4,2.0,2.4,3.0,25.0,-5.5
