Team,OFF,DEF,NET,aOFF,aDEF,aNET
Boston Celtics,116.17,107.6,8.6,116.7,106.6,10.1
Philadelphia 76ers,120.25,111.6,8.6,120.7,110.8,9.9
Oklahoma City Thunder,117.87,109.6,8.3,117.9,109.9,7.9
Minnesota Timberwolves,113.23,106.9,6.3,113.6,106.7,6.9
Orlando Magic,112.65,107.0,5.6,112.2,106.5,5.7
Denver Nuggets,115.56,110.9,4.6,116.4,111.7,4.7
New York Knicks,113.67,109.5,4.2,113.8,109.4,4.5
Houston Rockets,111.89,106.8,5.1,112.0,107.6,4.5
Atlanta Hawks,119.38,117.1,2.3,119.9,116.5,3.3
Phoenix Suns,117.96,113.8,4.1,118.1,115.1,3.0
Indiana Pacers,122.5,119.3,3.2,122.5,119.9,2.7
Milwaukee Bucks,117.79,115.1,2.7,117.7,115.1,2.6
LA Clippers,111.96,109.1,2.8,111.5,109.9,1.6
Miami Heat,112.06,110.0,2.1,111.6,110.2,1.4
Golden State Warriors,113.05,113.0,0.1,113.9,112.6,1.3
Brooklyn Nets,115.82,115.5,0.4,116.3,115.3,1.0
New Orleans Pelicans,112.22,111.8,0.4,112.2,111.4,0.8
Dallas Mavericks,118.04,117.3,0.7,118.0,118.1,-0.2
Sacramento Kings,113.65,113.4,0.2,114.0,114.3,-0.3
Toronto Raptors,111.61,112.1,-0.5,111.5,111.9,-0.4
Cleveland Cavaliers,110.57,112.6,-2.0,110.6,111.9,-1.2
Los Angeles Lakers,110.49,112.4,-1.9,110.8,112.8,-2.0
Chicago Bulls,109.34,115.2,-5.9,109.1,115.2,-6.0
Utah Jazz,112.12,118.3,-6.2,112.2,119.3,-7.1
Charlotte Hornets,112.19,120.1,-7.9,112.1,119.8,-7.7
Washington Wizards,111.85,119.3,-7.4,110.8,118.8,-7.9
Detroit Pistons,108.76,116.7,-7.9,108.3,116.6,-8.3
Portland Trail Blazers,105.07,112.8,-7.7,104.3,113.2,-8.9
Memphis Grizzlies,105.69,114.0,-8.3,105.5,114.8,-9.3
San Antonio Spurs,106.33,119.0,-12.7,106.6,119.0,-12.4
