Team,OFF,DEF,NET,aOFF,aDEF,aNET,OFF_R,DEF_R,NET_R,aOFF_R,aDEF_R,aNET_R
Oklahoma City Thunder,125.9,107.9,18.0,125.7,108.6,17.1,2,4,1,2,5,1
Cleveland Cavaliers,125.3,108.8,16.5,125.5,108.5,17.0,3,6,2,3,4,2
Los Angeles Lakers,119.3,106.6,12.8,119.2,105.7,13.5,6,2,4,6,1,3
Boston Celtics,121.2,108.3,13.0,120.0,108.2,11.7,5,5,3,5,3,4
Denver Nuggets,126.7,114.6,12.1,127.8,116.9,10.9,1,13,5,1,19,5
Detroit Pistons,122.9,111.0,12.0,121.7,112.9,8.7,4,8,6,4,10,6
Portland Trail Blazers,115.9,108.8,7.1,115.8,108.9,7.0,12,6,7,12,7,7
Golden State Warriors,116.3,111.2,5.1,115.8,110.7,5.1,10,9,8,12,8,8
Memphis Grizzlies,117.6,114.8,2.8,118.3,114.3,4.1,8,14,9,8,12,9
Minnesota Timberwolves,115.2,113.2,2.0,116.0,112.7,3.3,13,10,10,11,9,10
Indiana Pacers,117.5,116.2,1.4,117.3,115.3,2.0,9,18,13,9,14,11
Atlanta Hawks,118.2,119.1,-0.9,118.7,118.9,-0.2,7,24,15,7,24,12
Orlando Magic,109.0,107.3,1.7,107.7,108.6,-0.9,26,3,12,28,5,13
Brooklyn Nets,108.0,106.0,2.0,106.8,107.9,-1.1,29,1,10,29,2,14
LA Clippers,114.9,115.3,-0.4,114.8,116.3,-1.5,14,16,14,15,17,15
Utah Jazz,113.8,117.2,-3.5,115.1,116.9,-1.8,15,20,17,14,19,16
Milwaukee Bucks,111.4,113.8,-2.4,111.3,113.6,-2.3,21,11,16,21,11,17
New York Knicks,116.3,121.5,-5.2,117.1,121.8,-4.7,10,29,20,10,30,18
Philadelphia 76ers,113.4,120.2,-6.8,114.3,119.7,-5.4,17,27,22,16,26,19
New Orleans Pelicans,113.0,120.0,-7.0,111.7,117.0,-5.4,19,25,24,19,21,19
Houston Rockets,110.3,114.1,-3.8,110.0,115.7,-5.7,23,12,18,24,15,21
Dallas Mavericks,113.3,118.7,-5.4,114.0,120.0,-6.0,18,23,21,17,28,22
Miami Heat,109.0,116.0,-6.9,108.9,114.9,-6.1,26,17,23,26,13,23
San Antonio Spurs,110.5,114.8,-4.3,110.4,116.7,-6.3,22,14,19,23,18,24
Washington Wizards,109.9,117.8,-7.9,110.9,118.4,-7.4,24,22,26,22,23,25
Sacramento Kings,113.5,122.2,-8.7,113.8,121.3,-7.5,16,30,27,18,29,26
Phoenix Suns,111.5,121.0,-9.6,111.5,119.3,-7.8,20,28,28,20,25,27
Toronto Raptors,109.9,117.4,-7.5,109.1,117.2,-8.1,24,21,25,25,22,28
Chicago Bulls,108.6,120.0,-11.4,108.6,119.7,-11.0,28,25,29,27,26,29
Charlotte Hornets,104.1,116.2,-12.1,104.8,115.9,-11.1,30,18,30,30,16,30
