,Player,Team,FGM,FGA,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
0,Stephen Curry,Golden State Warriors,1229,2537,3119,2659.44,0.615,0.524,0.181,459.2
1,Nikola Jokic,Denver Nuggets,1379,2221,2911,2488.42,0.655,0.56,0.19,422.0
2,Kevin Durant,Phoenix Suns,1042,1888,2321,1952.37,0.615,0.517,0.195,368.2
3,Donovan Mitchell,Cleveland Cavaliers,1454,3058,3489,3131.11,0.57,0.512,0.117,357.8
4,Luka Doncic,Dallas Mavericks,1464,2970,3323,2998.16,0.559,0.505,0.109,323.7
5,Michael Porter Jr.,Denver Nuggets,968,2009,2460,2155.21,0.612,0.536,0.152,305.4
6,Buddy Hield,Indiana Pacers,1152,2559,3081,2779.8700000000003,0.602,0.543,0.118,302.0
7,Luke Kennard,Memphis Grizzlies,491,982,1360,1063.24,0.692,0.541,0.302,296.6
8,Damian Lillard,Portland Trail Blazers,1198,2635,2964,2671.07,0.562,0.507,0.111,292.5
9,Kyrie Irving,Dallas Mavericks,1271,2621,2991,2711.62,0.571,0.517,0.107,280.4
10,Nic Claxton,Brooklyn Nets,832,1182,1664,1398.32,0.704,0.592,0.225,266.0
11,Zach LaVine,Chicago Bulls,1427,2979,3354,3095.81,0.563,0.52,0.087,259.2
12,Domantas Sabonis,Sacramento Kings,1223,2032,2539,2284.0,0.625,0.562,0.125,254.0
13,Corey Kispert,Washington Wizards,735,1528,1946,1695.6200000000001,0.637,0.555,0.164,250.6
14,Jalen Brunson,New York Knicks,1236,2518,2800,2565.4500000000003,0.556,0.509,0.093,234.2
15,Kevin Huerter,Sacramento Kings,984,2092,2512,2279.01,0.6,0.545,0.111,232.2
16,Bojan Bogdanovic,Detroit Pistons,957,1965,2305,2072.28,0.587,0.527,0.118,231.9
17,D'Angelo Russell,Los Angeles Lakers,1004,2168,2504,2285.8,0.577,0.527,0.101,219.0
18,Jayson Tatum,Boston Celtics,1595,3461,3796,3579.23,0.548,0.517,0.063,218.0
19,Tyrese Haliburton,Indiana Pacers,861,1775,2081,1871.85,0.586,0.527,0.118,209.4
20,De'Aaron Fox,Sacramento Kings,1427,2837,3149,2940.92,0.555,0.518,0.073,207.1
