,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
0,LeBron James,Los Angeles Lakers,2544,812.0,731.33,0.578,0.115,80.67,381.0,337.62,0.394,0.135,43.38,1193,1068.97,0.583,0.522,0.121,124.0
1,Chris Paul,San Antonio Spurs,101108,166.0,152.33,0.5,0.082,13.67,363.0,330.92,0.384,0.102,32.08,529,483.25,0.55,0.502,0.095,45.8
2,Kyle Lowry,Philadelphia 76ers,200768,22.0,27.22,0.393,-0.186,-5.22,84.0,89.43,0.337,-0.065,-5.43,106,116.66,0.477,0.525,-0.096,-10.7
3,Kevin Durant,Phoenix Suns,201142,798.0,634.86,0.582,0.238,163.14,435.0,352.97,0.417,0.236,82.03,1233,987.83,0.597,0.478,0.237,245.2
4,Al Horford,Boston Celtics,201143,124.0,142.96,0.53,-0.162,-18.96,279.0,300.55,0.355,-0.082,-21.55,403,443.5,0.532,0.585,-0.107,-40.5
5,Mike Conley,Minnesota Timberwolves,201144,96.0,131.04,0.369,-0.27,-35.04,339.0,294.64,0.417,0.164,44.36,435,425.68,0.542,0.531,0.023,9.3
6,Jeff Green,Houston Rockets,201145,56.0,38.19,0.757,0.481,17.81,51.0,58.09,0.321,-0.134,-7.09,107,96.28,0.594,0.535,0.119,10.7
7,Russell Westbrook,Denver Nuggets,201566,468.0,495.48,0.52,-0.061,-27.48,228.0,261.74,0.329,-0.146,-33.74,696,757.23,0.511,0.556,-0.09,-61.2
8,Kevin Love,Miami Heat,201567,34.0,56.09,0.354,-0.46,-22.09,72.0,71.73,0.369,0.004,0.27,106,127.82,0.469,0.566,-0.193,-21.8
9,Eric Gordon,Philadelphia 76ers,201569,62.0,71.79,0.463,-0.146,-9.79,168.0,154.61,0.409,0.098,13.39,230,226.41,0.564,0.555,0.018,3.6
