,Player,Team,PLAYER_ID,PTS2,xPTS2,FG2_PCT,Shot_Making2,Points_Added2,PTS3,xPTS3,FG3_PCT,Shot_Making3,Points_Added3,PTS,xPTS,eFG,xeFG,Shot_Making,Points_Added
0,LeBron James,Los Angeles Lakers,2544,862.0,808.8,0.587,0.072,53.2,363.0,319.34,0.402,0.145,43.66,1225,1128.13,0.592,0.545,0.094,96.9
1,Chris Paul,Golden State Warriors,101108,186.0,173.84,0.495,0.065,12.16,186.0,176.19,0.385,0.061,9.81,372,350.02,0.533,0.501,0.063,22.0
2,Kyle Lowry,Philadelphia 76ers,200768,114.0,123.19,0.496,-0.08,-9.19,240.0,223.73,0.383,0.078,16.27,354,346.93,0.546,0.535,0.022,7.1
3,Kevin Durant,Phoenix Suns,201142,966.0,800.74,0.566,0.194,165.26,396.0,326.59,0.406,0.214,69.41,1362,1127.33,0.578,0.478,0.199,234.7
4,Al Horford,Boston Celtics,201143,170.0,161.27,0.644,0.066,8.73,285.0,254.35,0.43,0.139,30.65,455,415.62,0.644,0.589,0.112,39.4
5,Mike Conley,Minnesota Timberwolves,201144,196.0,214.22,0.485,-0.09,-18.22,432.0,373.77,0.427,0.173,58.23,628,587.99,0.583,0.545,0.074,40.0
6,Jeff Green,Houston Rockets,201145,198.0,198.91,0.55,-0.005,-0.91,117.0,128.55,0.342,-0.101,-11.55,315,327.47,0.536,0.557,-0.042,-12.5
7,Thaddeus Young,Phoenix Suns,201152,118.0,116.84,0.634,0.012,1.16,3.0,6.77,0.167,-0.628,-3.77,121,123.62,0.611,0.624,-0.026,-2.6
8,Derrick Rose,Memphis Grizzlies,201565,122.0,126.44,0.492,-0.036,-4.44,45.0,42.53,0.385,0.063,2.47,167,168.96,0.512,0.518,-0.012,-2.0
9,Russell Westbrook,LA Clippers,201566,434.0,471.82,0.508,-0.089,-37.82,105.0,151.8,0.263,-0.352,-46.8,539,623.61,0.481,0.557,-0.151,-84.6
10,Kevin Love,Miami Heat,201567,114.0,106.17,0.648,0.089,7.83,207.0,225.77,0.343,-0.093,-18.77,321,331.93,0.555,0.574,-0.038,-10.9
11,Danilo Gallinari,Milwaukee Bucks,201568,100.0,88.75,0.575,0.129,11.25,84.0,94.49,0.326,-0.122,-10.49,184,183.24,0.532,0.53,0.004,0.8
12,Eric Gordon,Phoenix Suns,201569,228.0,221.25,0.564,0.033,6.75,414.0,393.28,0.4,0.06,20.72,642,614.54,0.587,0.562,0.05,27.5
13,Brook Lopez,Milwaukee Bucks,201572,364.0,347.56,0.619,0.056,16.44,366.0,383.41,0.36,-0.051,-17.41,730,730.98,0.577,0.577,-0.002,-1.0
14,JaVale McGee,Sacramento Kings,201580,148.0,146.15,0.632,0.016,1.85,3.0,5.72,0.2,-0.544,-2.72,151,151.87,0.619,0.622,-0.007,-0.9
15,Nicolas Batum,Philadelphia 76ers,201587,72.0,72.46,0.621,-0.008,-0.46,165.0,156.82,0.39,0.058,8.18,237,229.27,0.595,0.576,0.039,7.7
16,DeAndre Jordan,Denver Nuggets,201599,104.0,105.08,0.627,-0.013,-1.08,0.0,0.0,0.0,0.0,0.0,104,105.08,0.627,0.633,-0.013,-1.1
17,James Harden,LA Clippers,201935,286.0,284.85,0.497,0.004,1.15,504.0,418.25,0.407,0.208,85.75,790,703.11,0.563,0.502,0.124,86.9
18,Stephen Curry,Golden State Warriors,201939,484.0,474.05,0.518,0.021,9.95,894.0,773.5,0.404,0.164,120.5,1378,1247.54,0.572,0.518,0.108,130.5
19,DeMar DeRozan,Chicago Bulls,201942,930.0,859.87,0.505,0.076,70.13,192.0,206.79,0.335,-0.077,-14.79,1122,1066.66,0.505,0.48,0.05,55.3
20,Jrue Holiday,Boston Celtics,201950,340.0,355.47,0.52,-0.047,-15.47,363.0,305.17,0.442,0.211,57.83,703,660.66,0.585,0.55,0.07,42.3
21,Patrick Beverley,Milwaukee Bucks,201976,168.0,189.41,0.483,-0.123,-21.41,153.0,170.58,0.329,-0.113,-17.58,321,359.96,0.488,0.547,-0.118,-39.0
22,Gordon Hayward,Oklahoma City Thunder,202330,260.0,288.67,0.476,-0.105,-28.67,90.0,84.91,0.395,0.067,5.09,350,373.59,0.501,0.535,-0.068,-23.6
23,Paul George,LA Clippers,202331,544.0,508.98,0.526,0.068,35.02,606.0,516.54,0.402,0.178,89.46,1150,1025.54,0.564,0.503,0.122,124.5
24,Ish Smith,Charlotte Hornets,202397,124.0,147.28,0.413,-0.155,-23.28,12.0,7.56,0.5,0.555,4.44,136,154.85,0.43,0.49,-0.119,-18.8
25,Kyrie Irving,Dallas Mavericks,202681,634.0,587.03,0.541,0.08,46.97,393.0,344.15,0.406,0.151,48.85,1027,931.17,0.565,0.512,0.105,95.8
26,Tristan Thompson,Cleveland Cavaliers,202684,132.0,124.95,0.647,0.069,7.05,0.0,0.83,0.0,-0.83,-0.83,132,125.78,0.641,0.611,0.06,6.2
27,Jonas Valanciunas,New Orleans Pelicans,202685,618.0,587.26,0.612,0.061,30.74,99.0,111.67,0.344,-0.132,-12.67,717,698.94,0.597,0.581,0.03,18.1
28,Bismack Biyombo,Oklahoma City Thunder,202687,136.0,154.1,0.553,-0.147,-18.1,0.0,0.0,0.0,0.0,0.0,136,154.1,0.553,0.626,-0.147,-18.1
29,Klay Thompson,Golden State Warriors,202691,346.0,361.75,0.485,-0.044,-15.75,633.0,572.78,0.385,0.11,60.22,979,934.5,0.541,0.516,0.049,44.5
30,Alec Burks,New York Knicks,202692,168.0,224.85,0.367,-0.248,-56.85,363.0,339.93,0.376,0.072,23.07,531,564.77,0.482,0.512,-0.061,-33.8
31,Marcus Morris,Cleveland Cavaliers,202694,114.0,111.78,0.475,0.018,2.22,126.0,103.37,0.424,0.229,22.63,240,215.16,0.548,0.491,0.113,24.8
32,Kawhi Leonard,LA Clippers,202695,830.0,732.73,0.567,0.133,97.27,378.0,318.74,0.416,0.196,59.26,1208,1051.5,0.584,0.508,0.151,156.5
33,Nikola Vucevic,Chicago Bulls,202696,852.0,869.47,0.558,-0.023,-17.47,225.0,316.17,0.279,-0.339,-91.17,1077,1185.64,0.521,0.574,-0.105,-108.6
34,Tobias Harris,Philadelphia 76ers,202699,656.0,634.76,0.546,0.035,21.24,213.0,238.56,0.329,-0.118,-25.56,869,873.34,0.532,0.534,-0.005,-4.3
35,Reggie Jackson,Denver Nuggets,202704,388.0,391.83,0.497,-0.01,-3.83,237.0,237.64,0.359,-0.003,-0.64,625,629.49,0.512,0.516,-0.007,-4.5
36,Jimmy Butler,Miami Heat,202710,576.0,589.02,0.52,-0.024,-13.02,123.0,109.68,0.402,0.131,13.32,699,698.72,0.533,0.533,0.0,0.3
37,Bojan Bogdanovic,New York Knicks,202711,290.0,286.74,0.5,0.011,3.26,339.0,306.98,0.398,0.113,32.02,629,593.71,0.548,0.517,0.061,35.3
38,Davis Bertans,Charlotte Hornets,202722,16.0,22.25,0.421,-0.329,-6.25,138.0,130.96,0.368,0.056,7.04,154,153.21,0.535,0.532,0.005,0.8
39,Anthony Davis,Los Angeles Lakers,203076,1134.0,1108.39,0.576,0.026,25.61,66.0,82.47,0.301,-0.226,-16.47,1200,1190.84,0.567,0.563,0.009,9.2
40,Bradley Beal,Phoenix Suns,203078,424.0,391.94,0.561,0.085,32.06,189.0,192.35,0.366,-0.019,-3.35,613,584.31,0.557,0.531,0.052,28.7
