Date,Team,playerID,Player,In,Out,Notes
2024-07-11,Kings,1642269,Devin Carter,False,True,surgery on left shoulder to repair labrum (out indefinitely)
2024-07-13,Nuggets,1641747,DaRon Holmes II,False,True,torn right Achilles tendon (out indefinitely)
2024-07-17,Bucks,203114,Khris Middleton,False,True,arthroscopic surgery on both ankles (out indefinitely)
2024-09-09,Lakers,1626174,Christian Wood,False,True,surgery on left knee (out indefinitely)
2024-09-17,Thunder,1629026,Kenrich Williams,False,True,placed on IL with surgery on right knee
2024-09-20,Raptors,1628971,Bruce Brown,False,True,surgery on right knee (out indefinitely)
2024-09-23,Knicks,1629011,Mitchell Robinson,False,True,surgery on left ankle (out indefinitely)
2024-09-24,Celtics,204001,Kristaps Porzingis,False,True,surgery on foot (out indefinitely)
2024-09-24,Clippers,1642280,Trentyn Flowers,False,True,surgery on left wrist (out indefinitely)
2024-09-27,Grizzlies,1631246,Vince Williams Jr.,False,True,fractured tibia (out indefinitely)
2024-09-27,Spurs,1630170,Devin Vassell,False,True,surgery on foot (out indefinitely)
2024-09-30,Nets,202711,Bojan Bogdanovic,False,True,surgery on foot (out indefinitely)
2024-10-01,Kings,1628989,Kevin Huerter,False,True,shoulder injury (out indefinitely)
2024-10-03,Pelicans,1630530,Trey Murphy III,False,True,placed on IL with strained right hamstring
2024-10-04,Mavericks,203957,Dante Exum,False,True,surgery on right wrist (out indefinitely)
2024-10-05,Blazers,1631101,Shaedon Sharpe,False,True,torn labrum in left shoulder (out indefinitely)
2024-10-06,Clippers,200782,P.J. Tucker,False,True,player not with team (out indefinitely)
2024-10-07,Cavaliers,1641734,Emoni Bates,False,True,surgery on right knee (out indefinitely)
2024-10-07,Nets,1630549,Day'Ron Sharpe,False,True,strained left hamstring (DTD)
2024-10-07,Wizards,1627763,Malcolm Brogdon,False,True,right thumb injury (out indefinitely)
2024-10-08,Nets,1630570,Trendon Watford,False,True,strained left hamstring (DTD)
2024-10-08,Raptors,1629628,R.J. Barrett,False,True,placed on IL with shoulder injury
2024-10-08,Wizards,1627763,Malcolm Brogdon,False,True,surgery on right thumb to repair torn ligament (out indefinitely)
2024-10-09,Hornets,1629610,DaQuan Jeffries,False,True,fractured hand (out indefinitely)
2024-10-15,76ers,202331,Paul George,False,True,knee injury (out indefinitely)
2024-10-15,Clippers,202695,Kawhi Leonard,False,True,knee injury (DTD)
2024-10-15,Suns,1628960,Grayson Allen,False,True,Achilles injury (out indefinitely)
2024-10-15,Wizards,1630180,Saddiq Bey,False,True,knee injury (DTD)
2024-10-16,Thunder,1628392,Isaiah Hartenstein,False,True,fractured left hand (out indefinitely)
2024-10-18,Blazers,1629680,Matisse Thybulle,False,True,surgery on right knee (out indefinitely)
2024-10-18,Knicks,1629013,Landry Shamet,False,True,dislocated right shoulder (out indefinitely)
2024-10-19,Cavaliers,1629622,Max Strus,False,True,placed on IL with sprained ankle
2024-10-20,Knicks,1630173,Precious Achiuwa,False,True,strained left hamstring (out indefinitely)
2024-10-21,Bucks,203114,Khris Middleton,False,True,placed on IL recovering from surgery on both ankles
2024-10-21,Celtics,204001,Kristaps Porzingis,False,True,placed on IL recovering from surgery on foot (date approximate)
2024-10-21,Grizzlies,1642285,Cam Spencer,False,True,placed on IL with sprained right ankle
2024-10-21,Grizzlies,1628991,Jaren Jackson Jr.,False,True,placed on IL with hamstring injury
2024-10-21,Grizzlies,1628379,Luke Kennard,False,True,placed on IL with foot injury
2024-10-21,Hawks,1641723,Kobe Bufkin,False,True,placed on IL with right shoulder subluxation
2024-10-21,Knicks,201567,Kevin McCullar Jr.,False,True,knee injury (DTD)
2024-10-21,Knicks,1630173,Precious Achiuwa,False,True,placed on IL with strained left hamstring (date approximate)
2024-10-21,Lakers,1631132,Christian Koloko,False,True,blood clots (out indefinitely)
2024-10-21,Pistons,1641709,Ausar Thompson,False,True,blood clots (out indefinitely)
